Ministère;Catégorie;2014;2015;LFR 2015;2016;2017;LFR 2017;2018;LFR 2018;2019;FLR 2019;LFI 2020;LFR 2020;LFI 2021;LFR 2021;LFI 2022;LFR 2022;LFI 2023;LFI 2024;LFR 2024;LFI 2025;LFI 2026;LFR 2026
SECURITE PUBLIQUE;ADMINISTRATION TERRITORIALE ET SECURITE PUBLIQUE;96569382;107198489;90759388;102318275;112671927;110118622;144879956;146775567;161576510;160015158;188834804;173007746;202753612;194942711;184597158;192325262;222919477;245248898;228315044;229249937;278902579;266535875
JUSTICE;ADMINISTRATION TERRITORIALE ET SECURITE PUBLIQUE;86708297;89909990;82233235;93401407;102446822;104079282;126180251;128575439;174205979;161671688;182032796;163679579;219389695;201403000;178232604;169767710;217313390;222237054;199561238;219767142;251327004;210481316
AMENAGEMENT DU TERRITOIRE, DE L'HABITAT ET DES TRAVAUX PUBLICS;INFRASTRUCTURES ET TRANSPORTS;0;0;0;0;0;0;0;0;0;1003373409;1201649975;1166248728;1358293465;1104565668;0;0;0;0;0;0;0;0
AMENAGEMENT DU TERRITOIRE ET DES SERVICES FONCIERS;INFRASTRUCTURES ET TRANSPORTS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259921282;253493360;254255828;189913205;0;0;255656601;234153088
EDUCATION NATIONALE ET DE L'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL;EDUCATION ET FORMATION;0;0;0;0;0;0;0;0;0;1252795428;1345372950;1305330816;0;0;0;0;0;0;0;0;0;0
AGRICULTURE, DE L'ELEVAGE ET DE LA PECHE;AGRICULTURE ET DEVELOPPEMENT RURAL;0;0;0;0;0;0;0;0;0;571225496;705983752;624879465;544933450;473182774;0;0;0;0;0;0;0;0
AGRICULTURE ET DU DEVELOPPEMENT RURAL;AGRICULTURE ET DEVELOPPEMENT RURAL;255759135;261759157;279085699;238580826;508356741;536071840;471967360;408444312;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ELEVAGE;AGRICULTURE ET DEVELOPPEMENT RURAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16913113
ELEVAGE ET DE LA PROTECTION ANIMALE;AGRICULTURE ET DEVELOPPEMENT RURAL;13618121;13920277;10159176;14745377;50148117;47189070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FINANCES ET DU BUDGET;ECONOMIE ET FINANCES;1064593691;1316736316;1995082782;1450672508;1686923257;2053091286;1453323155;1622327699;1577539740;0;0;0;0;0;0;0;0;0;0;0;0;0
EAU;RESSOURCES NATURELLES ET ENERGIE;36048661;34567492;43985440;46260591;98988549;219132266;325273492;107636372;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EAU DE L'ASSAINISSEMENT ET DE L'HYGIENE;RESSOURCES NATURELLES ET ENERGIE;0;0;0;0;0;0;0;0;0;0;0;121809863;161689062;65856694;293950110;0;719880636;596645042;306062603;600240461;474389071;442948635
ENERGIE;RESSOURCES NATURELLES ET ENERGIE;23848704;27904494;22758813;60900537;167214773;0;4306004;140843606;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENERGIE, DE L'EAU ET DES HYDROCARBURES;RESSOURCES NATURELLES ET ENERGIE;0;0;0;0;0;0;0;0;0;291886852;341730934;0;0;0;0;0;0;0;0;0;0;0
ENERGIE ET DES HYDROCARBURES;RESSOURCES NATURELLES ET ENERGIE;0;0;0;0;0;0;0;0;144134559;0;0;175541957;236332014;166562005;327435319;362128375;527728730;808169391;407875690;1331968355;2049362929;2143432177
ECONOMIE ET DU PLAN;ECONOMIE ET FINANCES;0;0;0;0;0;0;0;0;25091166;0;0;0;0;0;0;0;0;0;0;0;0;0
MINES ET DES RESSOURCES STRATEGIQUES;RESSOURCES NATURELLES ET ENERGIE;0;0;0;0;0;0;0;0;0;15163718;30131285;21932742;21178319;17653388;21882225;18608652;19821819;20380536;0;18135447;0;0
MINES;RESSOURCES NATURELLES ET ENERGIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18289262;0;18347220;23513689
FONCTION PUBLIQUE DE LA REFORME DE L'ADMINISTRATION DU TRAVAIL DE L'EMPLOI ET DES LOIS SOCIALES;TRAVAIL ET FONCTION PUBLIQUE;0;0;0;0;0;0;0;0;28536690;0;0;0;0;0;0;0;0;0;0;0;0;0
MINISTÈRE DE L'EMPLOI, DE L'ENSEIGNEMENT TECHNIQUE ET DE LA FORMATION PROFESSIONNELLE;TRAVAIL ET FONCTION PUBLIQUE;37651851;39736061;30661164;41963840;48579692;45653105;59326650;57765481;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MINISTÈRE DE LA FONCTION PUBLIQUE DU TRAVAIL ET DES LOIS SOCIALES;TRAVAIL ET FONCTION PUBLIQUE;16102085;16127970;13109239;17738034;20916851;18818097;22553306;25552373;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TRANSPORTS, DU TOURISME ET DE LA METEOROLOGIE;INFRASTRUCTURES ET TRANSPORTS;0;0;0;0;0;0;0;0;0;110276298;99484364;77125079;58745626;140559360;0;0;0;0;0;0;0;0
TRAVAIL, DE L’EMPLOI, DE LA FONCTION PUBLIQUE ET DES LOIS SOCIALES;TRAVAIL ET FONCTION PUBLIQUE;0;0;0;0;0;0;0;0;0;27036906;30040742;24257180;28632872;25664429;29202482;28095264;31578643;32969978;0;0;0;0
TRAVAIL DE L'EMPLOI ET DE LA FONCTION PUBLIQUE;TRAVAIL ET FONCTION PUBLIQUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31786607;33678671;37249651;33163752
INDUSTRIE, DU COMMERCE ET DE L'ARTISANAT;INDUSTRIE ET COMMERCE;0;0;0;0;0;0;0;0;0;46105178;73798013;103938957;209362576;99358033;0;0;0;0;0;0;0;0
